Company_Name,Category,Address,Url,Latitude,Longitude,State,Territory
9M GYM,Gym,"Solapara Road Opp Hotel Siroy Lily, Piyali Phukan Rd, near Bank Of India, Complex, Guwahati, Assam 781007, India",https://www.google.co.kr/maps/place/9M+GYM/data=!4m5!3m4!1s0x375a5bd675682ae9:0x6055b87a122475c1!8m2!3d26.1784346!4d91.7533332?authuser=0&hl=en&rclk=1,26.1784346,91.7533332,Assam,East
Venus Fitness Planet Guwahati,Gym,"Jatia, Kahilipara Main Rd, Kahilipara, Guwahati, Assam 781019, India",https://www.google.co.kr/maps/place/Venus+Fitness+Planet+Guwahati/data=!4m5!3m4!1s0x375a593c1f9caead:0x7eedec0f6311c782!8m2!3d26.1441101!4d91.7826163?authuser=0&hl=en&rclk=1,26.1441101,91.7826163,Assam,East
K Fitness Gym +,Gym,"Na-Ali, Dohabora Chowk, Near Jorhat Law College Jorhat Law College Chariali, Assam 785001, India",https://www.google.co.kr/maps/place/K+Fitness+Gym+%2B/data=!4m5!3m4!1s0x3746c28d396125b5:0x5bc37f8926caf59!8m2!3d26.7490975!4d94.2127157?authuser=0&hl=en&rclk=1,26.7490975,94.2127157,Assam,East
Fitzone Gym & Physical Training,Gym,"Near, Jain Gali, Rehabari, Guwahati, Assam 781008, India",https://www.google.co.kr/maps/place/Fitzone+Gym+%26+Physical+Training/data=!4m5!3m4!1s0x375a5a2cc1d02fd7:0x3b6b006c56bfe3b!8m2!3d26.1740288!4d91.7477009?authuser=0&hl=en&rclk=1,26.1740288,91.7477009,Assam,East
Gym Nation,Gym,"AMC Road, Magpins Tower. 4th Floor. Opp Jyotshna Cinema Hall, Dibrugarh, Assam 786005, India",https://www.google.co.kr/maps/place/Gym+Nation/data=!4m5!3m4!1s0x3740985951a5687b:0xd2023f93b65192f8!8m2!3d27.4921658!4d94.9303517?authuser=0&hl=en&rclk=1,27.4921658,94.9303517,Assam,East
"New Fitness India, Sports & Fitness Equiptments",Gym,"Kamarchuburi, Tezpur, Assam 784001, India","https://www.google.co.kr/maps/place/New+Fitness+India,+Sports+%26+Fitness+Equiptments/data=!4m5!3m4!1s0x3744e97bea3af277:0xc43593c4b05d22e6!8m2!3d26.6293045!4d92.7892235?authuser=0&hl=en&rclk=1",26.6293045,92.7892235,Assam,East
"SK-27 Gym, Guwahati",Fitness center,"Choudhury Complex, 2nd Floor, Achyut &, above Kalyan Jewellers, Bora Service, Guwahati, Assam 781007, India","https://www.google.co.kr/maps/place/SK-27+Gym,+Guwahati/data=!4m5!3m4!1s0x375a59fd9bd68c7f:0xfb51fd013c3fec4d!8m2!3d26.1717282!4d91.7610459?authuser=0&hl=en&rclk=1",26.1717282,91.7610459,Assam,East
Fitness Empire,Gym,"In And Out Building, 3rd, RG Baruah Rd, Guwahati, 781024, India",https://www.google.co.kr/maps/place/Fitness+Empire/data=!4m5!3m4!1s0x375a59b12817f535:0xb24d452fa6d80ace!8m2!3d26.1721528!4d91.7777948?authuser=0&hl=en&rclk=1,26.1721528,91.7777948,Assam,East
HARDCORE FITNESS,Gym,"Public Health, near Ananta path, GMC Ward Number 44, Hengrabari, Guwahati, Assam 781036, India",https://www.google.co.kr/maps/place/HARDCORE+FITNESS/data=!4m5!3m4!1s0x375a59beba057441:0x3043ed6a573c31c1!8m2!3d26.1530329!4d91.7915625?authuser=0&hl=en&rclk=1,26.1530329,91.7915625,Assam,East
Change 4 Life,Fitness center,"Guwahati-Shillong Rd, Rajbari Path, Ganeshguri, Guwahati, Assam 781005, India",https://www.google.co.kr/maps/place/Change+4+Life/data=!4m5!3m4!1s0x375a5917779dc889:0xb3d34d1f1d0c26b8!8m2!3d26.1517335!4d91.7824355?authuser=0&hl=en&rclk=1,26.1517335,91.7824355,Assam,East
